# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
9.999999999999999547e-08 5.751132903242250904e-11 1.010878065699216677e-07 2.060590481778534766e-02 8.721928629529474009e-02
1.010200000000000160e-03 -2.242650509742816212e-14 1.010200000082228655e-03 2.071014471027865511e-10 5.334763741871029197e-10
2.020300000000000047e-03 5.773159728050814010e-14 2.020300000129537921e-03 7.127498591330549971e-11 3.160804951107820671e-10
3.030400000000000368e-03 2.886579864025407005e-14 3.030400000065824884e-03 2.425259992833161959e-11 9.678968737603099726e-11
4.040500000000000688e-03 -4.041211809635569807e-14 4.040499999919067164e-03 -1.998801124614146829e-11 -8.119238614767709805e-11
5.050600000000000575e-03 -1.576516694967722287e-14 5.050599999959715092e-03 -9.641842879659634491e-12 -3.575606477568271657e-11
6.060700000000001329e-03 4.440892098500626162e-16 6.060699999983487629e-03 -5.508926648190026754e-12 -1.457634013490860525e-11
7.070800000000001216e-03 -1.154631945610162802e-14 7.070799999966848048e-03 -6.130207452770264354e-12 -2.611577620825755730e-11
8.080900000000000236e-03 -2.020605904817784904e-14 8.080899999979518356e-03 -4.973799150320701301e-14 1.650235503802832682e-12
9.091000000000000122e-03 -8.881784197001252323e-15 9.090999999987303681e-03 -8.451017663446691586e-13 -8.451017663446691586e-13
1.010110000000000001e-02 -5.107025913275720086e-15 1.010109999999198038e-02 -6.095124405192109407e-13 -6.095124405192109407e-13
1.111119999999999990e-02 -2.220446049250313081e-15 1.111119999999354846e-02 -7.389644451905041933e-13 -7.389644451905041933e-13
1.212130000000000152e-02 -4.662936703425657470e-15 1.212129999999334018e-02 -3.139710713639942696e-13 4.418687638008123031e-13
1.313140000000000140e-02 6.217248937900876626e-15 1.313140000000911911e-02 4.258815522462100489e-13 2.357225525884132367e-12
1.414150000000000129e-02 3.996802888650563546e-15 1.414150000000535812e-02 2.255973186038318090e-13 2.255973186038318090e-13
1.515160000000000118e-02 1.776356839400250465e-15 1.515160000000115303e-02 -8.659739592076221015e-14 3.970157536059559789e-13
1.616170000000000107e-02 6.661338147750939243e-15 1.616170000000982654e-02 3.845812557301542256e-13 3.845812557301542256e-13
1.717180000000000095e-02 -1.554312234475219157e-15 1.717180000000384510e-02 6.239453398393379757e-13 1.753708289697897271e-12
1.818190000000000084e-02 3.108624468950438313e-15 1.818190000000940998e-02 6.981082378842984326e-13 2.712940982974032522e-12
1.919200000000000073e-02 7.105427357601001859e-15 1.919200000001364259e-02 6.536993168992921710e-13 3.366640299873324693e-12
2.020210000000000061e-02 8.437694987151189707e-15 2.020210000001609885e-02 7.966960424710123334e-13 3.244959856374407536e-12
2.121220000000000050e-02 -6.439293542825907934e-15 2.121219999998658068e-02 -6.519229600598919205e-13 -2.872591053915130033e-12
2.222230000000000039e-02 -4.884981308350688778e-15 2.222229999998859284e-02 -5.722089468918056809e-13 -2.595479386968690960e-12
2.323240000000000027e-02 -3.552713678800500929e-15 2.323239999998971683e-02 -5.713207684721055557e-13 -2.422506639732091571e-12
2.424250000000000363e-02 2.220446049250313081e-15 2.424249999999883443e-02 -2.537969834293107851e-13 -8.206768598029157147e-13
2.525260000000000352e-02 -3.552713678800500929e-15 2.525259999999818206e-02 1.323385845353186596e-13 1.323385845353186596e-13
2.626270000000000340e-02 -2.442490654175344389e-15 2.626269999999664151e-02 -7.482903185973555082e-14 -7.482903185973555082e-14
2.727280000000000329e-02 8.881784197001252323e-16 2.727280000000265048e-02 1.461053500406706007e-13 5.937472735695337178e-13
2.828290000000000318e-02 -2.220446049250313081e-16 2.828289999999977766e-02 1.243449787580175325e-14 1.243449787580175325e-14
2.929300000000000306e-02 2.664535259100375697e-15 2.929300000000445436e-02 1.127986593019159045e-13 5.009326287108706310e-13
3.030310000000000295e-02 1.776356839400250465e-15 3.030310000000024928e-02 -8.215650382226158399e-14 -8.215650382226158399e-14
3.131320000000000631e-02 2.220446049250313081e-15 3.131320000000314963e-02 4.973799150320701301e-14 4.973799150320701301e-14
3.232330000000000619e-02 4.884981308350688778e-15 3.232330000000516179e-02 2.398081733190338127e-14 -8.215650382226158399e-14
3.333340000000000608e-02 2.220446049250313081e-15 3.333340000000672987e-02 2.682298827494378202e-13 1.167510532695814618e-12
3.434350000000000597e-02 2.664535259100375697e-15 3.434350000000740977e-02 2.642330798607872566e-13 1.111555292254706728e-12
3.535360000000000585e-02 3.552713678800500929e-15 3.535360000000764558e-02 2.313704783318826230e-13 1.030731056061995332e-12
3.636370000000000574e-02 3.996802888650563546e-15 3.636370000000743730e-02 1.736388810513744829e-13 9.294787162161810556e-13
3.737380000000000563e-02 -2.664535259100375697e-15 3.737379999999479452e-02 -1.427746809667951311e-13 -6.197264923457623809e-13
3.838390000000000551e-02 -3.330669073875469621e-15 3.838389999999369806e-02 -1.503241975342461956e-13 -8.286704655802168418e-13
3.939400000000000540e-02 4.440892098500626162e-16 3.939399999999837476e-02 -1.090239010181903723e-13 -3.235189893757706159e-13
4.040410000000000529e-02 -4.440892098500626162e-16 4.040409999999639012e-02 -1.620925615952728549e-13 -5.699885008425553679e-13
4.141420000000000518e-02 -1.110223024625156540e-15 4.141419999999973456e-02 2.753353101070388220e-14 -3.708144902248022845e-14
4.242430000000000506e-02 -2.886579864025407005e-15 4.242429999999686174e-02 -5.773159728050814010e-15 5.595524044110788964e-14
4.343440000000000495e-02 -8.881784197001252323e-16 4.343439999999931800e-02 3.108624468950438313e-15 3.108624468950438313e-15
4.444450000000000484e-02 -2.220446049250313081e-16 4.444450000000088608e-02 4.884981308350688778e-14 4.884981308350688778e-14
4.545460000000000472e-02 1.332267629550187849e-15 4.545460000000201006e-02 1.909583602355269250e-14 -3.441691376337985275e-14
