# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000000000000082e-05 9.736877970567547891e-11 3.000011095322108190e-05 2.716888274356676902e-06 4.835337085840052396e-05
2.000000000000000164e-05 3.971289963544677448e-10 6.000039099118836816e-05 6.137807995187927190e-07 1.227383135082860122e-04
3.000000000000000415e-05 8.985798771732333989e-10 9.000090047539544003e-05 1.263678832685855014e-07 1.798531202199527002e-04
4.000000000000000327e-05 1.601720978072762591e-09 1.200016005475923464e-04 5.866928720621444882e-08 2.401443983623963163e-04
5.000000000000000240e-05 2.502112295132974396e-09 1.500025056415665858e-04 1.411708581144921482e-07 2.995302279487077612e-04
6.000000000000000152e-05 3.598272346749809003e-09 1.800035983627878977e-04 3.009770210837814375e-09 3.599559664353435551e-04
7.000000000000000742e-05 4.899876504538269728e-09 2.100048998054937499e-04 2.025255518844915059e-09 4.200288503675153606e-04
8.000000000000000654e-05 6.401354113449997385e-09 2.400064038643456854e-04 6.276135611216204779e-08 4.797790993338324483e-04
9.000000000000000567e-05 8.098993031779855301e-09 2.700080972779517197e-04 3.810960169658983432e-08 5.401684643100423955e-04
1.000000000000000048e-04 9.999448380426656513e-09 3.000099987353621600e-04 1.426036533302976750e-08 6.000453962542451336e-04
1.100000000000000039e-04 1.210190792022558526e-08 3.300121019611523820e-04 9.707932235869520810e-10 6.599853280606637895e-04
1.200000000000000030e-04 1.439889185661513693e-08 3.600143972222191735e-04 2.782975805359910737e-08 7.200999798122609263e-04
1.300000000000000157e-04 1.689974027385687805e-08 3.900168999835251782e-04 3.739699216964709194e-09 7.799837747191062931e-04
1.400000000000000148e-04 1.960081519314371690e-08 4.200196006736156562e-04 2.025255518844915059e-09 8.400103602541619807e-04
1.500000000000000140e-04 2.250055919361670931e-08 4.500225011550007537e-04 7.944094271294943610e-09 8.999684456139078748e-04
1.600000000000000131e-04 2.559988576678051686e-08 4.800255986614487824e-04 1.530120030679427146e-08 9.600546408927712605e-04
1.700000000000000122e-04 2.890014627610071329e-08 5.100289002206714883e-04 8.755467462151500513e-10 1.019994439115379237e-03
1.800000000000000113e-04 3.240023316308793255e-08 5.400324014290802666e-04 1.328961207747170192e-08 1.079949304362948226e-03
1.900000000000000105e-04 3.609956422678806121e-08 5.700360988116770500e-04 7.925021527910303121e-09 1.140037823759598723e-03
2.000000000000000096e-04 3.999961739609148026e-08 6.000399995791383390e-04 3.825775252153107431e-10 1.200004367646556602e-03
2.100000000000000087e-04 4.410079412764389417e-08 6.300441011104496170e-04 3.009770210837814375e-09 1.259981800091125592e-03
2.200000000000000078e-04 4.840064971034507835e-08 6.600484012611040896e-04 5.558491444901392242e-09 1.319980802310993795e-03
2.300000000000000070e-04 5.289933469043717196e-08 6.900528992250798410e-04 9.544791623739001807e-10 1.380003976647614650e-03
2.400000000000000061e-04 5.759998300547408689e-08 7.200575998815850198e-04 8.451701560829860682e-10 1.440010222342635871e-03
2.500000000000000594e-04 6.250034001453741439e-08 7.500625011109818274e-04 6.167735655537853745e-09 1.499970863735988758e-03
2.600000000000000314e-04 6.759999626737567269e-08 7.800675994147354686e-04 4.472009429434820049e-09 1.560020559391084305e-03
2.700000000000000577e-04 7.290003800619615504e-08 8.100729000330986196e-04 3.611155818816769170e-11 1.619996658861921901e-03
2.800000000000000297e-04 7.839981286394959170e-08 8.400784003224082142e-04 3.639147649892038316e-09 1.679990373237849610e-03
2.900000000000000559e-04 8.409952245713725461e-08 8.700840987678759575e-04 5.204327635510708205e-09 1.740021711477801603e-03
3.000000000000000279e-04 8.999989864477697665e-08 9.000899999800360263e-04 5.426077365200399072e-10 1.799994178568020686e-03
3.100000000000000542e-04 9.610014428673707698e-08 9.300961000935359380e-04 3.277040860893976060e-10 1.860001670151767428e-03
3.200000000000000262e-04 1.024002571625715063e-07 9.601024005845282261e-04 2.046034452973799489e-09 1.919989897176677118e-03
3.300000000000000524e-04 1.088998979881239393e-07 9.901088993853335296e-04 3.107162527271611907e-09 1.980015017127634280e-03
3.400000000000000786e-04 1.155999105328930909e-07 1.020115599896342928e-03 8.485656621814996470e-11 2.040003199387463440e-03
3.500000000000000507e-04 1.225002503879579763e-07 1.050122500688921434e-03 2.506266305601911881e-09 2.099989329487073064e-03
3.600000000000000769e-04 1.295997957839745141e-07 1.080129599258405904e-03 2.986806357796467637e-09 2.160009556846809176e-03
3.700000000000000489e-04 1.368999500428458305e-07 1.110136899973301894e-03 1.263069648871351092e-10 2.219998265449163455e-03
3.800000000000000751e-04 1.444003592254716750e-07 1.140144400314291317e-03 2.364979323488114460e-10 2.280000063477061190e-03
3.900000000000000471e-04 1.520995689396897887e-07 1.170152099159604830e-03 2.099739049299387261e-09 2.340009898634143326e-03
4.000000000000000734e-04 1.599997379031492528e-07 1.200159999938943400e-03 1.005199479209295532e-09 2.399997250487118094e-03
4.100000000000000454e-04 1.681002435027778574e-07 1.230168100333717263e-03 4.413376331058316282e-10 2.459996864660141114e-03
4.200000000000000716e-04 1.764001242854362772e-07 1.260176400359913629e-03 1.121633452783044049e-09 2.519995561347521118e-03
4.300000000000000436e-04 1.848999295894770967e-07 1.290184899515267603e-03 1.927223713948933437e-09 2.580007723392618857e-03
4.400000000000000699e-04 1.935999058844117826e-07 1.320193599867014456e-03 1.761328860538924346e-10 2.639999277004534406e-03
4.500000000000000419e-04 2.025000314098690524e-07 1.350202500338681944e-03 1.364994339780878363e-09 2.699994691641727229e-03
4.600000000000000681e-04 2.115998025686849360e-07 1.380211599462555228e-03 1.479160793849132460e-09 2.760005949457244867e-03
4.700000000000000401e-04 2.208997051944550094e-07 1.410220899677572248e-03 1.174615960053415620e-10 2.820000776182496338e-03
4.800000000000000664e-04 2.304002983954944739e-07 1.440230400442388259e-03 6.004308161777771602e-10 2.879997433606007462e-03
4.900000000000000926e-04 2.401003973417914494e-07 1.470240100807540529e-03 1.673945426716727525e-09 2.939993743332536269e-03
5.000000000000001188e-04 2.499995783722397391e-07 1.500249999454972283e-03 4.936024922130854975e-10 3.000002074091234761e-03
5.100000000000000366e-04 2.601000637092454326e-07 1.530260099960489839e-03 4.049880431011843029e-10 3.060002142227347122e-03
5.200000000000000629e-04 2.704001662579003096e-07 1.560270400497998367e-03 1.276187155951902241e-09 3.119995588228618999e-03
5.300000000000000891e-04 2.808997940917379310e-07 1.590280899381291135e-03 1.557423523479428695e-09 3.180005975910837890e-03
5.400000000000001153e-04 2.915999930408474938e-07 1.620291599983225694e-03 3.611155818816769170e-11 3.240000896309602751e-03
5.500000000000000331e-04 3.025002190959469317e-07 1.650302500183276067e-03 1.302540297842824657e-10 3.300000256491131267e-03
5.600000000000000594e-04 3.135997674874602126e-07 1.680313599596860996e-03 6.091545046160717902e-10 3.360002794932981374e-03
5.700000000000000856e-04 3.248998345917186725e-07 1.710324899815596211e-03 6.564171428635745542e-11 3.419999891539404757e-03
5.800000000000001118e-04 3.364000975558667506e-07 1.740336400024133923e-03 2.538680377028867952e-10 3.480000595136978347e-03
5.900000000000000296e-04 3.481002575078662176e-07 1.770348100591068174e-03 1.131579274726846052e-09 3.539994896227582899e-03
6.000000000000000559e-04 3.599999396364239601e-07 1.800359999639677966e-03 9.993685878839642101e-10 3.600003085926672952e-03
6.100000000000000821e-04 3.721000707557209353e-07 1.830372100149357806e-03 2.581632685405566008e-10 3.659998678385179005e-03
6.200000000000001083e-04 3.843999940578157748e-07 1.860384400250936210e-03 8.275753415887265874e-10 3.719996080926435411e-03
6.300000000000000261e-04 3.968998893988384680e-07 1.890396899603796754e-03 9.063603201298064960e-10 3.780004007851722747e-03
6.400000000000000524e-04 4.095999224240642889e-07 1.920409599970085424e-03 1.486801792793812638e-10 3.839999729724041799e-03
6.500000000000000786e-04 4.225002507851627342e-07 1.950422500270665438e-03 6.085354442575408029e-11 3.899999000515741443e-03
6.600000000000001048e-04 4.356002651917378898e-07 1.980435600501539994e-03 7.159197679129647440e-10 3.959996852180402982e-03
6.700000000000001310e-04 4.488997236151703873e-07 2.010448899664396549e-03 1.779216773911684868e-10 4.020000767355647042e-03
6.800000000000000488e-04 4.624001141984024343e-07 2.040462400085374384e-03 8.485390168289086432e-11 4.080000551512696916e-03
6.900000000000000751e-04 4.761001006770015920e-07 2.070476100414886389e-03 9.110490140074034571e-10 4.139996495899467277e-03
7.000000000000001013e-04 4.899999317409253763e-07 2.100489999698584853e-03 6.657998596892866772e-10 4.200002916548761789e-03
7.100000000000001275e-04 5.040999204730667316e-07 2.130504099850938360e-03 1.959277184937491256e-10 4.260001263031831797e-03
7.200000000000000453e-04 5.184002080937943902e-07 2.160518400212030343e-03 1.148237060988321900e-11 4.319999850467937108e-03
