# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000000000000021e-08 6.603826818718516733e-09 1.215494194184429944e-08 3.110223024625156540e+00 1.310223024625156363e+01
1.099909990999100028e-08 4.802760411592998935e-09 9.849641990911095490e-09 1.082310133920709294e+00 3.835379732158581412e+00
1.199819981998199870e-08 4.196816671964143097e-09 9.683053470155300602e-09 3.136587496095946115e-01 4.575608335936036664e-01
1.299729972997299712e-08 7.541826940737905716e-09 9.542076018220768674e-09 6.288387788198908090e-01 6.288387788198908090e-01
1.399639963996399720e-08 6.443183764304194483e-09 9.421225133365851434e-09 2.669270896344708710e-01 2.669270896344708710e-01
1.499549954995499727e-08 5.490938370655840117e-09 9.316477811438517165e-09 2.508528888864436368e-02 2.508528888864436368e-02
1.599459945994599734e-08 4.657656704765145150e-09 9.224816910347044541e-09 2.641048753983039621e-01 2.641048753983039621e-01
1.699369936993699411e-08 7.188928563550689432e-09 9.143934054378632936e-09 7.777433245550091634e-02 3.066708010533987228e-01
1.799279927992799418e-08 6.353901849109888644e-09 9.072033346768648698e-09 2.853212574542052238e-01 1.314128502981682267e+00
1.899189918991899426e-08 2.390403430752030545e-10 2.069924054381999667e-08 1.546239208122979214e-01 1.078034172588997031e+00
1.999099909990999102e-08 2.157436007621527096e-09 2.005702182117374832e-08 2.224460005556196940e-01 2.224460005556196940e-01
2.099009900990099110e-08 1.681139893960903464e-09 1.947594041595834824e-08 1.591047956589886070e-02 1.591047956589886070e-02
2.198919891989199117e-08 1.248125602870686635e-09 1.894766299415096000e-08 1.631173981134532713e-01 1.631173981134532713e-01
2.298829882988299124e-08 3.267506931692309990e-09 1.846530439664206824e-08 1.092283963483315912e-01 7.394855975655543201e-01
2.398739873987399132e-08 1.823869499872898814e-09 2.727984638184466348e-08 1.224457875893572023e-01 7.012946387500909040e-01
2.498649864986498808e-08 1.568545293650913663e-10 2.650289587791121448e-08 1.339324624483233528e-01 1.339324624483233528e-01
2.598559855985598816e-08 1.509592451043317851e-10 2.578568958355731411e-08 2.700481228211959461e-02 2.700481228211959461e-02
2.698469846984698823e-08 1.621154988029616106e-09 2.512159191780938272e-08 1.793248849037931691e-02 1.345342431642069236e-01
2.798379837983798830e-08 2.684336752878380139e-09 3.243967050536866736e-08 1.266115224960051577e-01 5.519338269952065446e-01
2.898289828982898507e-08 9.470686457291321858e-10 3.159198236346583144e-08 1.146893931227155328e-01 1.146893931227155328e-01
2.998199819981998514e-08 1.177066444313368265e-09 3.080078991857249093e-08 2.389933202534244572e-02 2.389933202534244572e-02
3.098109810981098191e-08 3.995446196114471604e-10 3.006062732069381127e-08 3.362865379742618899e-02 8.204024892037242722e-02
3.198019801980197867e-08 3.329747588765030741e-09 3.630990219605223501e-08 6.253598146079442088e-02 3.881995574809198324e-01
3.297929792979298205e-08 1.783447611813926414e-09 3.544768834018441339e-08 4.153774297893653156e-02 4.153774297893653156e-02
3.397839783978398544e-08 1.961800943917069162e-09 3.463617881394043252e-08 7.675579986372893515e-02 7.675579986372893515e-02
3.497749774977498220e-08 3.717018692839246796e-09 4.021924349117966813e-08 8.718329979704586563e-02 3.594245997705733942e-01
3.597659765976597897e-08 2.288790046378608167e-09 3.932029724040830843e-08 5.864419927907826846e-02 5.864419927907826846e-02
3.697569756975697573e-08 2.439031643319822251e-09 3.846993079648086677e-08 5.110375180020487740e-02 5.110375180020487740e-02
3.797479747974797912e-08 1.119577763830648109e-09 3.766430944907028788e-08 7.531657797122770504e-02 3.062785886146803804e-01
3.897389738973898250e-08 2.716405322900072861e-09 4.259725727706609177e-08 4.654164411745354002e-02 4.654164411745354002e-02
3.997299729972997926e-08 6.726086354547078372e-11 4.172874845664864552e-08 8.448155276967561633e-02 2.234469896209874129e-01
4.097209720972097603e-08 1.611871969231515322e-09 4.632200711895961831e-08 1.824674780010115960e-01 7.776858810921964960e-01
4.197119711971197279e-08 4.377440632197249215e-10 4.540618148141106758e-08 1.428236641033411303e-01 5.209690165921663230e-01
4.297029702970296956e-08 6.817846287532347560e-10 4.453294355499792800e-08 1.044642995022342369e-01 2.848469537452826827e-01
4.396939693969397956e-08 2.037048751901693322e-09 4.874936987420142032e-08 1.247651554724411582e-01 6.415999230197919623e-01
4.496849684968497632e-08 9.317338012237996736e-10 4.784065676943782819e-08 8.630157012628503210e-02 4.157176075146460370e-01
4.596759675967597309e-08 2.289696432455912145e-09 5.180190409959095632e-08 1.542221581750404802e-01 6.271001928963908512e-01
4.696669666966696985e-08 1.226032608769855869e-09 5.086691690081579509e-08 1.138759053923008580e-01 4.158581775912013612e-01
4.796579657965796662e-08 2.066800064426388417e-10 4.997088032254737300e-08 7.498691700901316537e-02 2.197534461026653396e-01
4.896489648964897662e-08 1.496311075044332028e-09 5.364618038683488521e-08 1.300920916348120571e-01 5.931555898162930163e-01
4.996399639963997338e-08 1.623343237611152290e-09 5.273040315501020814e-08 4.575548709818066939e-02 1.347013778415795393e-01
5.096309630963097015e-08 2.834637413684504281e-09 5.620750131996032906e-08 9.456912564952135725e-02 4.792859038300458785e-01
5.196219621962196691e-08 1.862753506998160447e-09 5.527769264546122940e-08 5.591538751394908857e-02 1.381520030145071409e-01
5.296129612961296368e-08 3.023829631132457507e-09 5.857554796762087790e-08 9.782322502128248942e-02 4.540573575720663335e-01
5.396039603960396044e-08 2.030522860962946652e-09 4.940641540329693271e-08 9.352999340102319259e-02 3.223063941929003029e-01
5.495949594959497044e-08 8.408860274755625142e-10 5.269110081584926775e-08 5.194767748023787490e-02 1.622147900756960581e-01
5.595859585958596721e-08 1.677737060390427359e-09 5.189047946885239071e-08 8.543386514075290705e-02 2.981634356806692754e-01
5.695769576957696397e-08 5.360230037609881037e-10 5.501635813587313351e-08 4.934591127592846682e-02 1.520119159456165825e-01
5.795679567956796074e-08 1.349277134465864947e-09 5.420325521754421061e-08 8.296743197629963262e-02 4.134902885321098953e-01
5.895589558955895750e-08 2.518256714267863572e-10 5.718399442855570669e-08 5.156652333362354845e-02 1.473911205467242080e-01
5.995499549954996750e-08 1.042711694765330321e-09 5.636186894975026007e-08 8.507764192287803340e-02 3.939360867740266947e-01
6.095409540954096427e-08 1.373834379592153709e-11 5.920951196003443329e-08 5.769331257087695342e-02 1.473382366060673743e-01
6.195319531953196103e-08 1.651938807967212597e-09 5.838123806611861255e-08 6.198287065441321353e-02 3.223135298202384202e-01
6.295229522952295780e-08 6.193534574094883283e-10 6.110644346080107425e-08 3.896596244053096569e-02 9.499550637080145243e-02
6.395139513951395456e-08 1.355073830922037814e-09 6.027441434852676139e-08 7.261474638316722796e-02 3.169311869824840144e-01
6.495049504950496456e-08 3.588227492912210437e-10 6.288665677089966266e-08 5.250200891654421831e-02 2.104072514368244828e-01
6.594959495949596133e-08 6.072431446568771207e-10 6.541975139384703652e-08 3.448351889721701369e-02 1.110620830960267202e-01
6.694869486948695809e-08 1.138436012126931018e-10 6.456060308579480989e-08 6.794003087870925661e-02 3.156400269199004516e-01
6.794779477947795486e-08 1.630692691989565901e-09 6.699459120795836498e-08 1.994145853714579530e-02 1.994145853714579530e-02
6.894689468946895163e-08 2.298451651228106130e-09 6.613752168149744648e-08 1.482071784251814961e-02 8.488586897748806592e-02
6.994599459945994839e-08 1.359876877771171166e-09 6.847945188681592299e-08 3.049950070832085913e-03 3.049950070832085913e-03
7.094509450945094516e-08 4.477374027089808806e-10 7.075542063361695000e-08 7.275015370872495168e-03 1.478295183100519772e-02
7.194419441944195516e-08 1.875690935904117396e-09 6.988183010037118947e-08 5.189386202945067694e-03 1.626019028949654555e-02
7.294329432943295192e-08 9.814735690838460869e-10 7.207624275196167218e-08 3.137291194258651217e-03 3.137291194258651217e-03
7.394239423942394869e-08 1.114210945729610103e-10 7.421135439500403663e-08 1.028858561664147686e-02 7.120642154441814142e-02
7.494149414941494545e-08 1.486746947776396155e-09 7.332663054526733504e-08 3.419117516956449165e-03 1.634901003238065087e-02
7.594059405940594222e-08 6.329403667848509940e-10 7.538911095394951190e-08 2.145285254232298655e-03 2.145285254232298655e-03
7.693969396939695222e-08 1.986917297358559154e-10 7.739802621031799390e-08 6.749199429662233740e-03 1.200546598556839761e-02
7.793879387938794898e-08 1.127718363136409607e-09 7.650647626533668699e-08 7.816373602378634544e-03 1.046054040126920270e-02
7.893789378937894575e-08 3.108753254821294831e-10 7.845039684539756308e-08 4.474951203570221026e-03 4.474951203570221026e-03
7.993699369936994251e-08 2.088873518601985779e-10 8.034572518411664532e-08 1.545263735690394213e-02 1.545263735690394213e-02
8.093609360936093928e-08 5.764468902214048285e-10 8.219426028688303631e-08 1.684588163261802052e-02 6.769073579142359520e-02
8.193519351935194928e-08 1.237343560944736964e-11 8.128771078474983369e-08 1.550271868896779814e-02 1.550271868896779814e-02
8.293429342934294604e-08 8.233280723857205885e-11 8.308035992499185340e-08 1.536973389922646760e-03 1.536973389922646760e-03
8.393339333933394281e-08 8.361555892122396472e-10 8.483033120398886240e-08 1.448352941516350967e-03 1.431108290841698327e-02
8.493249324932493957e-08 3.885312072071656075e-10 8.392476580354468751e-08 1.458090901666575512e-02 6.075344601627818975e-02
8.593159315931593634e-08 2.927549314080124532e-10 8.562422681990256024e-08 3.400727390923119486e-04 1.469496430798233888e-02
8.693069306930693310e-08 4.393876373853800033e-10 8.728462352891597220e-08 1.966093353388931320e-03 1.966093353388931320e-03
8.792979297929794310e-08 5.235798461455942743e-10 8.890728775412526375e-08 1.032449393633561030e-02 1.032449393633561030e-02
8.892889288928893987e-08 1.230100021842872593e-09 9.049349181111665530e-08 7.522844364189040789e-03 4.963870823196936399e-02
8.992799279927993663e-08 6.906786254035068850e-11 8.957531250075589924e-08 9.379684566070523033e-03 5.056493247160021021e-02
9.092709270927093340e-08 7.650560185368249222e-10 9.111931786875970829e-08 1.259977462906003431e-02 1.259977462906003431e-02
9.192619261926193016e-08 8.420486530269499781e-10 9.262976163881830871e-08 3.012843138411769317e-03 3.012843138411769317e-03
9.292529252925294016e-08 9.173852788535441505e-10 9.410772516815768540e-08 5.704525003807248140e-03 5.704525003807248140e-03
9.392439243924393693e-08 1.582139308453633930e-09 9.555424629326125796e-08 1.016018275061369991e-03 1.156898812918449870e-02
9.492349234923493369e-08 1.648100766971083431e-09 9.697031710942383143e-08 8.400949881858021939e-03 4.536538454226013428e-02
9.592259225922593046e-08 5.552727166957538429e-10 9.604205786217789864e-08 9.086642684677626036e-03 4.528506736313819836e-02
9.692169216921692722e-08 5.150249116070426680e-10 9.742390538747258688e-08 2.099092940664970541e-02 5.644691062430995387e-02
9.792079207920792399e-08 1.372137958810526470e-10 9.877755458020942569e-08 1.469654870002035096e-02 3.785398029427344824e-02
9.891989198919893399e-08 2.151039346642846795e-10 1.001038598680281666e-07 1.958885386041098187e-02 8.766488264222260796e-02
9.991899189918993075e-08 2.914370966777823924e-10 1.014036414836994027e-07 2.388359600961154072e-02 9.060503324069779651e-02
1.009180918091809275e-07 3.662585790209504921e-10 1.026776867973921981e-07 2.761321803779237527e-02 1.366246813731577525e-01
1.019171917191719243e-07 4.396132347039838351e-10 1.039267534252985570e-07 3.080832009943668126e-02 1.376929685257226588e-01
1.029162916291629210e-07 1.050924680612297379e-09 1.051515683414550040e-07 2.301582918389666332e-02 1.173533548971357199e-01
1.039153915391539310e-07 1.116285730518029595e-09 1.063528309863670529e-07 2.542748638687397644e-02 1.179597065771376130e-01
1.049144914491449278e-07 1.180402442457761936e-09 1.075312145992768365e-07 2.738079219871369929e-02 1.181590366255220736e-01
1.059135913591359246e-07 1.243309011300652855e-09 1.086873666622523160e-07 2.890027887348622926e-02 1.179739496532978826e-01
1.069126912691269213e-07 2.666009635277077905e-10 1.077450320075001855e-07 1.058320880853758084e-02 3.972209589271935570e-02
1.079117911791179181e-07 3.368034739992253890e-10 1.088777956681497017e-07 1.166139949909572593e-02 4.026322034505458447e-02
1.089108910891089281e-07 4.057172375837581058e-10 1.099897763978674448e-07 1.236181070517528013e-02 4.044127783129392029e-02
1.099099909990999249e-07 4.733786695965136460e-10 1.110815408544851834e-07 1.270441869152527659e-02 4.027571209825842047e-02
1.109090909090909216e-07 1.462220344805587047e-09 1.081495528687526075e-07 2.339425359164093443e-02 1.046246267317103573e-01
1.119081908190819184e-07 1.379090397435334125e-09 1.092382526657331709e-07 2.306976537377791736e-02 1.028561873990514464e-01
1.129072907290729152e-07 1.297431717617314462e-09 1.103076847641659697e-07 2.306625682009455502e-02 1.014468898096061444e-01
1.139063906390639252e-07 1.217205669590271100e-09 1.113583563139286525e-07 2.336705946852779547e-02 1.003787324762475119e-01
1.149054905490549219e-07 1.138374727815971710e-09 1.123907567013304742e-07 2.395636806819712028e-02 9.963463482303214214e-02
1.159045904590459187e-07 1.030260321499554266e-10 1.153211122151276413e-07 8.290481565497609395e-03 3.308354611032560122e-02
1.169036903690369155e-07 3.506439583134124405e-11 1.163019991423652755e-07 9.693908750960433807e-03 3.406500374584653379e-02
1.179027902790279122e-07 3.174527307692187605e-11 1.172662620341213824e-07 1.133600659301992053e-02 3.529581374250168047e-02
1.189018901890189090e-07 9.743228446268403786e-11 1.182143201106100605e-07 1.320419820209406403e-02 3.676304170167399299e-02
1.199009900990099190e-07 1.620241718569559453e-10 1.191465783811906931e-07 1.528654272955320970e-02 3.845440409846889729e-02
1.209000900090009290e-07 2.336002502545397874e-10 1.200634285325463679e-07 9.976189474059093953e-03 2.516721092845575214e-02
1.218991899189919125e-07 1.673534644197616217e-10 1.209652498168622969e-07 1.257738492334037339e-02 5.740646646642288964e-02
1.228982898289829225e-07 1.021842610526846329e-10 1.218524081636473966e-07 1.535737420260741004e-02 5.946054366477171449e-02
1.238973897389739061e-07 3.806555071150796721e-11 1.227252588442695469e-07 1.830652661809883952e-02 9.063110593860601583e-02
1.248964896489649161e-07 1.308344987904774825e-09 1.235841442515095423e-07 6.405877127857451114e-05 7.053150983983957900e-03
1.258955895589559261e-07 1.235672453248071179e-09 1.244293978963639802e-07 3.662071895156771006e-03 2.467615534889211482e-02
1.268946894689469096e-07 2.892268646803586307e-10 1.270111753548519573e-07 6.394479506893091525e-03 2.707895867706699988e-02
1.278937893789379196e-07 2.256510533982236666e-10 1.278164507567680630e-07 2.319307779607537867e-03 4.468215297611433101e-03
1.288928892889289031e-07 5.937370595177071664e-10 1.286092428109952834e-07 4.811599754534601203e-03 4.811599754534601203e-03
1.298919891989199131e-07 5.287970061829128099e-10 1.293898383991631817e-07 4.102810388988409329e-04 4.102810388988409329e-04
1.308910891089109231e-07 4.648481599645037932e-10 1.301585172974739635e-07 4.090783657700880482e-03 4.090783657700880482e-03
1.318901890189019066e-07 8.227571957064583330e-10 1.309155508444348470e-07 2.303144440366722279e-03 4.079273628514012984e-03
1.328892889288929166e-07 7.788969469402218238e-11 1.333320995833275902e-07 5.492109905192332775e-03 2.435253727107200561e-02
1.338883888388839266e-07 1.358793078054532089e-10 1.340541526673177941e-07 4.464084966029346901e-04 5.746924037442369126e-03
1.348874887488749102e-07 2.185260861153892620e-10 1.347655098626887593e-07 1.431519032506045619e-03 1.431519032506045619e-03
1.358865886588659202e-07 1.592095344449262484e-10 1.354664056485432866e-07 3.841045407364740427e-03 3.841045407364740427e-03
1.368856885688569037e-07 5.062876784478476111e-10 1.361570709512704980e-07 3.248401186939586793e-03 2.102363797162554171e-02
1.378847884788479137e-07 3.594360364900239801e-10 1.384480898813933436e-07 2.957044050021284676e-03 2.047561877932180252e-02
1.388838883888389237e-07 1.361977197689157038e-11 1.391073682910359821e-07 3.022092978029355947e-03 3.022092978029355947e-03
1.398829882988299072e-07 6.958389420219646126e-11 1.397572293448945402e-07 2.792950611631095370e-03 2.792950611631095370e-03
1.408820882088209172e-07 2.692714939911411420e-10 1.403978724390242405e-07 3.051405728448086663e-03 1.983248635257894854e-02
1.418811881188119008e-07 5.703983951832469756e-10 1.425944975430581962e-07 2.014513803113793244e-03 3.500677694966425335e-03
1.428802880288029108e-07 2.327800174839467218e-10 1.432063414519291200e-07 1.305617602420650059e-03 1.305617602420650059e-03
1.438793879387939208e-07 2.856674896634103789e-10 1.438096881578587727e-07 4.939793083130306073e-03 4.939793083130306073e-03
1.448784878487849043e-07 7.209823849052554579e-10 1.459373399903540758e-07 4.664182670015115661e-03 2.053223688640049005e-02
1.458775877587759143e-07 3.892695055185413366e-10 1.465137180467479538e-07 3.384492908297342950e-03 3.384492908297342950e-03
1.468766876687668978e-07 4.400133590820587415e-10 1.470822548199635094e-07 3.192424206899469041e-03 3.192424206899469041e-03
1.478757875787579078e-07 1.146811534624703199e-10 1.476431088498486588e-07 4.697995546295574698e-03 1.992930855739238893e-02
