# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
9.999999999999999547e-08 5.751132903242250904e-11 1.010878065699216677e-07 2.060590481778534766e-02 8.721928629529474009e-02
1.010099009900990279e-05 4.355404925604489108e-12 1.010098520737301442e-05 1.061821632841741803e-07 9.819517323705895251e-07
2.010198019801980314e-05 4.662936703425657470e-12 2.010197766155741306e-05 2.115772170796503815e-07 2.115772170796503815e-07
3.010297029702970519e-05 1.078248601515952032e-12 3.010296637695475397e-05 1.887961980084895686e-07 5.563431151323072754e-07
4.010396039603961063e-05 7.185363415374013130e-13 4.010396522424741761e-05 2.049618332833347267e-07 8.952583860910579006e-07
5.010495049504950929e-05 6.901146321069973055e-13 5.010495041046780784e-05 3.092843470220429936e-08 3.092843470220429936e-08
6.010594059405941473e-05 1.175948227682965808e-12 6.010593983685197372e-05 1.393118020942551993e-08 1.393118020942551993e-08
7.010693069306932017e-05 9.259260025373805547e-13 7.010692852160715915e-05 3.552526628425312083e-08 1.710565564749799705e-07
8.010792079207921883e-05 6.474820679613912944e-13 8.010792228674290527e-05 2.115004837932588089e-08 5.575110062494559315e-08
9.010891089108911749e-05 6.399325513939402299e-13 9.010891204797033538e-05 1.147178352312039351e-08 1.147178352312039351e-08
1.001099009900990162e-04 7.904787935331114568e-14 1.001099012225559193e-04 3.065560250092858041e-09 8.012307040061728003e-09
1.101108910891089284e-04 3.801403636316535994e-13 1.101108899708158617e-04 1.340823474471619647e-08 3.172208562496336981e-08
1.201118811881188270e-04 1.616484723854227923e-13 1.201118820968183343e-04 1.243586256194362250e-08 3.552243921234321533e-08
1.301128712871287257e-04 6.203926261605374748e-13 1.301128717017263625e-04 3.164194239957396348e-09 3.164194239957396348e-09
1.401138613861386379e-04 1.751931932858497021e-13 1.401138609100627264e-04 4.296357047905985382e-09 4.296357047905985382e-09
1.501148514851485230e-04 2.446931546273845015e-13 1.501148512805805524e-04 5.989386098192994723e-09 2.076971705733399176e-08
1.601158415841584352e-04 6.119549311733862851e-13 1.601158425947879493e-04 4.978455869775189058e-09 1.363952728539175041e-08
1.701168316831683474e-04 6.097344851241359720e-13 1.701168320766832665e-04 2.546657329460799701e-09 2.546657329460799701e-09
1.801178217821782326e-04 3.164135620181696140e-13 1.801178212637033482e-04 2.244955554786542962e-09 1.251135373081524449e-08
1.901188118811881448e-04 5.613287612504791468e-13 1.901188113704321836e-04 5.315814455286727025e-10 5.315814455286727025e-10
2.001198019801980299e-04 5.044853423896711320e-13 2.001198011494231821e-04 3.261810377352958312e-09 8.806281259765569303e-09
2.101207920792079421e-04 7.549516567451064475e-14 2.101207927607262604e-04 5.771038757984570111e-09 2.085875205892762096e-08
2.201217821782178543e-04 1.540989558179717278e-13 2.201217819202128112e-04 9.443641424411453045e-10 1.346947442470991518e-09
2.301227722772277394e-04 3.634870182622762513e-13 2.301227718417564461e-04 6.248266348762854250e-10 6.248266348762854250e-10
2.401237623762376516e-04 3.244071677954707411e-13 2.401237615057283392e-04 4.549268739495460068e-09 1.610217359448995467e-08
2.501247524752475367e-04 6.639133687258436112e-14 2.501247527182393071e-04 2.473720783768840192e-09 7.797476886395315887e-09
2.601257425742574490e-04 1.718625242119742325e-13 2.601257427401471034e-04 4.616418358693863411e-11 4.616418358693863411e-11
2.701267326732673612e-04 2.242650509742816212e-13 2.701267325253553508e-04 5.645057754577464948e-10 5.645057754577464948e-10
2.801277227722772734e-04 1.958433415438776137e-13 2.801277220991771344e-04 3.407670812194396603e-09 1.189652931721241202e-08
2.901287128712871856e-04 4.045652701734070433e-13 2.901287137797581295e-04 3.472930831804887930e-09 1.534349358678355202e-08
3.001297029702970436e-04 4.085620730620576069e-14 3.001297029179283982e-04 6.211486880403072064e-10 4.318694291072233682e-09
3.101306930693069558e-04 2.999822612537172972e-13 3.101306926227564986e-04 9.462739480881054988e-10 4.409190124121664667e-09
3.201316831683168680e-04 9.925393840148899471e-14 3.201316828413958149e-04 1.423824613766555558e-09 3.590445496470806575e-09
3.301326732673267803e-04 8.926193117986258585e-14 3.301326735267728907e-04 1.031283058949838960e-09 4.087290950138822154e-09
3.401336633663366925e-04 1.034727858950645896e-13 3.401336633328533310e-04 8.057647882253604621e-10 3.684702321038457740e-09
