# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000011686097423e-07 6.177604198455810547e-02 2.362471818923950195e-01 5.960468000000000000e+06 3.576279200000000000e+07
1.001011021435260773e-02 5.584955215454101562e-05 1.814395189285278320e-02 9.140968322753906250e-04 2.942299842834472656e-02
2.002011984586715698e-02 2.213716506958007812e-04 3.618133068084716797e-02 5.803108215332031250e-04 6.812477111816406250e-02
3.003012947738170624e-02 5.007982254028320312e-04 5.409485101699829102e-02 1.129865646362304688e-03 1.050841808319091797e-01
4.004013910889625549e-02 8.891224861145019531e-04 7.188814878463745117e-02 1.974821090698242188e-03 1.426486968994140625e-01
5.005015060305595398e-02 1.388907432556152344e-03 8.955579996109008789e-02 3.045082092285156250e-03 1.812400817871093750e-01
6.006015837192535400e-02 1.999914646148681641e-03 1.070933341979980469e-01 4.389286041259765625e-03 2.209279537200927734e-01
7.007016986608505249e-02 2.721846103668212891e-03 1.244985461235046387e-01 5.962610244750976562e-03 2.617213726043701172e-01
8.008018136024475098e-02 3.553867340087890625e-03 1.417682170867919922e-01 7.774829864501953125e-03 3.035285472869873047e-01
9.009019285440444946e-02 4.496097564697265625e-03 1.588979363441467285e-01 9.845733642578125000e-03 3.463027477264404297e-01
1.001001968979835510e-01 5.548775196075439453e-03 1.758850812911987305e-01 1.215052604675292969e-02 3.901374340057373047e-01
1.101102083921432495e-01 6.711304187774658203e-03 1.927262544631958008e-01 1.468181610107421875e-02 4.349243640899658203e-01
1.201202198863029480e-01 7.983267307281494141e-03 2.094177007675170898e-01 1.746606826782226562e-02 4.806292057037353516e-01
1.301302313804626465e-01 9.363710880279541016e-03 2.259578704833984375e-01 2.048063278198242188e-02 5.272600650787353516e-01
1.401402354240417480e-01 1.085400581359863281e-02 2.423404455184936523e-01 2.374196052551269531e-02 5.747177600860595703e-01
1.501502543687820435e-01 1.245290040969848633e-02 2.585636377334594727e-01 2.725529670715332031e-02 6.230022907257080078e-01
1.601602584123611450e-01 1.415979862213134766e-02 2.746249437332153320e-01 3.099513053894042969e-02 6.721065044403076172e-01
1.701702624559402466e-01 1.597446203231811523e-02 2.905206680297851562e-01 3.497004508972167969e-02 7.219603061676025391e-01
1.801802814006805420e-01 1.789689064025878906e-02 3.062472343444824219e-01 3.919315338134765625e-02 7.725279331207275391e-01
1.901902854442596436e-01 1.992589235305786133e-02 3.218027353286743164e-01 4.364323616027832031e-02 8.238027095794677734e-01
2.002003043889999390e-01 2.206140756607055664e-02 3.371834754943847656e-01 4.833388328552246094e-02 8.757288455963134766e-01
