# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
9.999999999999999547e-08 3.307926155216023290e-10 1.829624801663598532e-07 1.544404371403862442e-02 7.095519494529645144e-02
1.999999999999999909e-07 2.243188967909759413e-10 3.633737216679477910e-07 1.209301655338723691e-03 1.209301655338723691e-03
2.999999999999999864e-07 3.928168901268236368e-11 5.456353349142517573e-07 6.410700523695744835e-04 1.874651190842069326e-03
3.999999999999999819e-07 5.323685936531319385e-11 7.275268737449991363e-07 1.784771254427219844e-04 1.566255906224167660e-03
4.999999999999999774e-07 2.274291865944633173e-12 9.094924274810622933e-07 7.890997889861139925e-04 2.565456628386364457e-03
5.999999999999999728e-07 3.928168901268236368e-11 1.091124914309737903e-06 2.427948313332706221e-05 6.410700523695744835e-04
6.999999999999999683e-07 1.358602119694296562e-11 1.273042887106612397e-06 3.686704577132715599e-05 7.165954281949105109e-04
7.999999999999999638e-07 1.615207967375908993e-11 1.454861732752554815e-06 5.004777845041274986e-06 1.784771254427219844e-04
8.999999999999999593e-07 2.239741725418298302e-11 1.636861210019269208e-06 2.298763395458536252e-04 1.052263765194183520e-03
9.999999999999999547e-07 2.274291865944633173e-12 1.818543040044140469e-06 9.907863071401123989e-05 9.907863071401123989e-05
1.100000000000000056e-06 2.246025587737676688e-11 2.000397571477741110e-06 6.237704312317404742e-05 2.458849810778040990e-04
1.199999999999999946e-06 5.323685936531319385e-11 2.182381628967888787e-06 2.427948313332706221e-05 1.784771254422778952e-04
1.299999999999999835e-06 1.081434941596626231e-11 2.364209116589854887e-06 7.172491153673021813e-05 4.001932620174564192e-04
1.399999999999999725e-06 2.606459492682233758e-11 2.545992886626713414e-06 1.977698609678668618e-05 7.642101796534461755e-05
1.500000000000000038e-06 2.274291865944633173e-12 2.727889712006437151e-06 3.921396367623231072e-07 1.969808425190677781e-04
1.599999999999999928e-06 5.323685936531319385e-11 2.909809006523822461e-06 5.004777845041274986e-06 1.784771254427219844e-04
1.699999999999999817e-06 3.691014160978056680e-11 3.091681497591203254e-06 3.921904709480728002e-05 2.697151767749872420e-04
1.799999999999999707e-06 8.442024856947227818e-12 3.273453306529283680e-06 9.986659601057823465e-06 2.427948313421524063e-05
1.900000000000000020e-06 1.980415831326354237e-11 3.455315628841937325e-06 5.485310663466691494e-06 9.774761187886227276e-05
1.999999999999999909e-06 2.274291865944633173e-12 3.637199376682609397e-06 1.194367174850441415e-05 1.229659742110200682e-04
2.099999999999999799e-06 3.928168901268236368e-11 3.818995753634979451e-06 1.348320477845277310e-05 3.865833005356478225e-05
2.199999999999999689e-06 2.772337914791478397e-12 4.000918532587327547e-06 6.438433610700400322e-06 7.525391034368666965e-05
2.300000000000000002e-06 7.101319532409888780e-12 4.182758143955744856e-06 2.537498138277527460e-06 1.844970459563555210e-05
2.399999999999999891e-06 6.977640687466646341e-12 4.364663761746712112e-06 2.427948313332706221e-05 1.399277148652622316e-04
2.499999999999999781e-06 2.447864133614530147e-11 4.546449829501142403e-06 1.026078874311053823e-05 7.502779650891966412e-06
2.599999999999999671e-06 1.081434941596626231e-11 4.728343645732380196e-06 6.031241440496160067e-06 3.887807648883523370e-05
2.699999999999999560e-06 1.837752172662021621e-12 4.910209880359950319e-06 1.435387977366531231e-06 4.712357829106395002e-05
2.799999999999999873e-06 6.239342376090917242e-12 5.092091139302645786e-06 2.270603780418767315e-05 9.351107763988508736e-05
2.899999999999999763e-06 1.375932701108695255e-11 5.273909301384271942e-06 1.389565526199731949e-06 3.821410954962800588e-05
2.999999999999999652e-06 2.274180843642170657e-12 5.455781698526784851e-06 3.921396354300554776e-07 4.895110590341644752e-05
3.099999999999999966e-06 8.469780432562856731e-12 5.637667268354462635e-06 9.517586054830218245e-06 6.728153114465840190e-05
3.199999999999999855e-06 1.195155086008981016e-12 5.819530081718760073e-06 1.584679956989631933e-05 9.174095164388162971e-05
3.299999999999999745e-06 5.638489675163782522e-12 6.001338564209923732e-06 1.140261591325852919e-05 1.207730471186607701e-06
3.399999999999999634e-06 4.256484054110387660e-12 6.183228124068129716e-06 8.030254816659976314e-07 2.001103628845868343e-05
3.499999999999999524e-06 1.358613221924542813e-11 6.365096649973978060e-06 6.148653759474598246e-07 2.780400067292632116e-05
