# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000000000000021e-08 2.243188967909759413e-10 1.642902647258637217e-08 3.065206334272576605e-01 8.037023911978984358e-01
1.099909990999100028e-08 1.756275236353133096e-09 2.194380033238019223e-08 3.356975701443598581e-02 1.868949489173017398e+00
1.199819981998199870e-08 5.846228501305006375e-09 1.728688814317536071e-08 2.189082087132638854e-01 9.901277919164623853e-01
1.299729972997299712e-08 3.737974818562861401e-09 2.188787928680824280e-08 3.060684609271091539e-01 1.620487850337054780e+00
1.399639963996399720e-08 1.930706705621787478e-09 2.583200853223388549e-08 3.299326995575966315e-01 2.030128016783449674e+00
1.499549954995499727e-08 3.642630641564892358e-10 2.925056963309913272e-08 3.126397149199844350e-01 2.287554426031340071e+00
1.599459945994599734e-08 2.464133119772782265e-09 2.530081411045159712e-08 1.653994580993347618e-01 7.025481042015133681e-01
1.699369936993699411e-08 1.050517672851469797e-09 2.834863488399008702e-08 1.771835057226285315e-01 9.761518948040706078e-01
1.799279927992799418e-08 2.879079419315644373e-09 3.105797807823051926e-08 1.351035262980215812e-01 4.780392748071804476e-01
1.899189918991899426e-08 1.592366349889573485e-09 3.348226251809194309e-08 5.645129980406959902e-02 6.720581343218690051e-01
1.999099909990999102e-08 4.342665116396915437e-10 3.566422768219723594e-08 2.571495639984489046e-02 8.077022938085125503e-01
2.099009900990099110e-08 2.031049772810433751e-09 3.763847566951028512e-08 1.426424418833338592e-01 3.946312518290708837e-01
2.198919891989199117e-08 9.582568072374897383e-10 3.943332005373889615e-08 3.657549647036661966e-02 4.957961469420038014e-01
2.298829882988299124e-08 2.128630605113812635e-11 4.107215212378889646e-08 6.573223373846426298e-02 5.645249674787589100e-01
2.398739873987399132e-08 1.394948156985265086e-09 4.257446617472737671e-08 2.885301671525386524e-02 2.218026337688314698e-01
2.498649864986498808e-08 4.762787941814394799e-10 4.395663832923446535e-08 8.063560322218776832e-02 2.750198071858660498e-01
2.598559855985598816e-08 3.717480767662095786e-10 4.950498144751236396e-08 1.443844024898774947e-01 6.376331994193478181e-01
2.698469846984698823e-08 1.156979179128825308e-09 5.052820450934802921e-08 2.201185240734204740e-02 6.318787790256870096e-01
2.798379837983798830e-08 9.754863583566475427e-11 5.147836368291081044e-08 4.893693169034918355e-02 3.324851346898163307e-01
2.898289828982898507e-08 6.497230531365971729e-10 5.236301514610630647e-08 6.865135640814479245e-02 3.278529048023646197e-01
2.998199819981998514e-08 1.347191580514106590e-09 5.689167281719420544e-08 6.799904514975629866e-02 5.620242121434202431e-01
3.098109810981098191e-08 2.079003635913068138e-10 5.754469434293696395e-08 6.421517966682399603e-02 2.955529851024207844e-01
3.198019801980197867e-08 8.755924874037646077e-10 5.815691361821251348e-08 5.489037108134686704e-02 1.634448964213888189e-01
3.297929792979298205e-08 1.502829305444208785e-09 6.209846259430662485e-08 3.757823005935856386e-02 4.458857786551462254e-01
3.397839783978398544e-08 4.594606917152077585e-10 6.254077944412017587e-08 1.697427295618814114e-02 2.092986929698152920e-01
3.497749774977498220e-08 1.062751220359814397e-09 6.613193415105911299e-08 8.344139233548553136e-02 3.556826923090130599e-01
