# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000011686097423e-07 1.920928815768989661e-01 1.920928955078125000e-01 0.000000000000000000e+00 3.841857743852488697e+06
1.010200008749961853e-03 -2.028221784211581280e-05 -2.026557922363281250e-05 0.000000000000000000e+00 -4.015485410767665603e-02
2.020299900323152542e-03 1.452094369547296537e-05 2.932548522949218750e-05 1.460321301436489846e-02 5.818467685411014834e-02
3.030400024726986885e-03 6.377027212733921147e-06 6.318092346191406250e-06 0.000000000000000000e+00 4.208703189368270467e-03
4.040500149130821228e-03 -5.070930797046457883e-06 -5.066394805908203125e-06 0.000000000000000000e+00 -2.510051123573221656e-03
5.050600040704011917e-03 5.808549650376804152e-06 1.168251037597656250e-05 2.336652528473673936e-03 9.310099918137295857e-03
6.060699932277202606e-03 3.226982738802064432e-06 3.218650817871093750e-06 0.000000000000000000e+00 1.064887839143304144e-03
7.070799823850393295e-03 -2.831848709194950686e-06 -2.861022949218750000e-06 0.000000000000000000e+00 -8.009981041783606308e-04
8.080899715423583984e-03 3.687995574486180317e-06 7.390975952148437500e-06 9.127685421987761106e-04 3.651074168795104442e-03
9.091000072658061981e-03 2.151333616806638815e-06 2.145767211914062500e-06 0.000000000000000000e+00 4.732886403067079230e-04
1.010110042989253998e-02 -2.028402428355668974e-06 -2.026557922363281250e-06 0.000000000000000000e+00 -4.016200863668592958e-04
1.111119985580444336e-02 2.682187592251139563e-06 5.364418029785156250e-06 4.827898843260896937e-04 1.931159537304358775e-03
1.212130021303892136e-02 1.613504634345730437e-06 1.668930053710937500e-06 0.000000000000000000e+00 2.662263367572998297e-04
1.313139963895082474e-02 -1.489389905517946033e-06 -1.490116119384765625e-06 0.000000000000000000e+00 -2.268440382255833959e-04
1.414149999618530273e-02 2.107437145681956281e-06 4.172325134277343750e-06 2.980500136072638151e-04 1.192200054429055260e-03
1.515160035341978073e-02 1.290805829778918223e-06 1.311302185058593750e-06 0.000000000000000000e+00 1.703854063378173458e-04
1.616170071065425873e-02 -1.267756222445015624e-06 -1.251697540283203125e-06 0.000000000000000000e+00 -1.568840160257913821e-04
1.717180013656616211e-02 1.735538624370036587e-06 3.457069396972656250e-06 2.021382236570614397e-04 8.085528946282457587e-04
1.818189956247806549e-02 1.126895271319483527e-06 1.072883605957031250e-06 0.000000000000000000e+00 1.239579236801276435e-04
1.919200085103511810e-02 -1.067585229885814613e-06 -1.072883605957031250e-06 0.000000000000000000e+00 -1.112531449952440830e-04
2.020210027694702148e-02 1.475209110868291873e-06 2.980232238769531250e-06 1.460451258045406962e-04 5.841805032181627850e-04
2.121219970285892487e-02 9.659109818649369572e-07 9.536743164062500000e-07 0.000000000000000000e+00 9.107127044875045375e-05
