# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
9.999999824516700442e-14 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.192092925760320307e+19
1.099909958035202862e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 9.853619798477373440e+18
1.199820001381371459e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 8.280906953408905216e+18
1.299729909202268496e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 7.056735995810545664e+18
1.399639952548437094e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 6.085236108809994240e+18
1.499549995894605692e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 5.301371179624300544e+18
1.599459903715502729e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.659758316061196288e+18
1.699369947061671327e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.127947906328035328e+18
1.799279990407839924e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 3.682244375334617088e+18
1.899189898228736961e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 3.305014030472577024e+18
1.999099941574905559e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 2.982916497162108928e+18
2.099009849395802596e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 2.705709274834665472e+18
2.198919892741971194e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 2.465422003700498432e+18
2.298829800562868231e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 2.255778533949308928e+18
2.398739843909036829e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 2.071780898038087680e+18
2.498649887255205426e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.909410518406266880e+18
2.598559930601374024e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.765406106126909440e+18
2.698469973947542622e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.637098871601496064e+18
2.798379746243168098e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.522287867429126144e+18
2.898289789589336696e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.419144056016994304e+18
2.998199832935505293e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.326138703885631488e+18
3.098109876281673891e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.241985244991586304e+18
3.198019919627842489e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.165595300262313984e+18
3.297929691923467965e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.096042256273506304e+18
3.397839735269636563e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 1.032533914897350656e+18
3.497749778615805161e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 9.743895409973002240e+17
3.597659821961973758e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 9.210217892056924160e+17
3.697569865308142356e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 8.719213794804367360e+17
3.797479637603767832e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 8.266452773550161920e+17
3.897389680949936430e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 7.848062485780234240e+17
3.997299724296105028e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 7.460650250928128000e+17
4.097209767642273626e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 7.101232269313966080e+17
4.197119810988442223e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 6.767174523394457600e+17
4.297029583284067700e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 6.456147422908252160e+17
4.396939626630236297e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 6.166079075631759360e+17
4.496849669976404895e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 5.895129861172756480e+17
4.596759713322573493e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 5.641654978855567360e+17
4.696669485618198969e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 5.404183488280657920e+17
4.796579800014910688e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 5.181395631897313280e+17
4.896489572310536165e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.972106685926604800e+17
4.996399886707247884e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.775245657323601920e+17
5.096309659002873360e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.589849786219233280e+17
5.196219431298498836e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.415044960869416960e+17
5.296129745695210556e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.250038502110003200e+17
5.396039517990836032e-13 8.322936296463012695e-01 8.322936296463012695e-01 3.637189626693725586e+00 4.094113322201251840e+17
